model name is decoder 
queue 14.39 s, infer 25.45 s, input 38.95 s, output 14.29 s 
Batch_size 1 , 26248 times, infer 5388.86   ms, avg 0.21 ms, 0.21 ms input 8295.41   ms, avg 0.32 ms, output 3089.10   ms, avg 0.12 ms 
Batch_size 24, 522   times, infer 139.73    ms, avg 0.27 ms, 0.01 ms input 222.62    ms, avg 0.43 ms, output 63.03     ms, avg 0.12 ms 
Batch_size 25, 483   times, infer 137.22    ms, avg 0.28 ms, 0.01 ms input 209.81    ms, avg 0.43 ms, output 72.63     ms, avg 0.15 ms 
Batch_size 26, 456   times, infer 118.79    ms, avg 0.26 ms, 0.01 ms input 203.83    ms, avg 0.45 ms, output 64.62     ms, avg 0.14 ms 
Batch_size 27, 505   times, infer 139.99    ms, avg 0.28 ms, 0.01 ms input 203.78    ms, avg 0.40 ms, output 69.63     ms, avg 0.14 ms 
Batch_size 28, 460   times, infer 125.96    ms, avg 0.27 ms, 0.01 ms input 199.04    ms, avg 0.43 ms, output 76.84     ms, avg 0.17 ms 
Batch_size 29, 428   times, infer 106.03    ms, avg 0.25 ms, 0.01 ms input 189.57    ms, avg 0.44 ms, output 65.65     ms, avg 0.15 ms 
Batch_size 30, 430   times, infer 113.59    ms, avg 0.26 ms, 0.01 ms input 161.11    ms, avg 0.37 ms, output 62.84     ms, avg 0.15 ms 
Batch_size 31, 442   times, infer 128.28    ms, avg 0.29 ms, 0.01 ms input 212.04    ms, avg 0.48 ms, output 63.47     ms, avg 0.14 ms 
Batch_size 32, 418   times, infer 130.59    ms, avg 0.31 ms, 0.01 ms input 161.28    ms, avg 0.39 ms, output 83.37     ms, avg 0.20 ms 
Batch_size 33, 346   times, infer 116.00    ms, avg 0.34 ms, 0.01 ms input 137.82    ms, avg 0.40 ms, output 56.00     ms, avg 0.16 ms 
Batch_size 34, 364   times, infer 105.56    ms, avg 0.29 ms, 0.01 ms input 177.31    ms, avg 0.49 ms, output 60.20     ms, avg 0.17 ms 
Batch_size 35, 349   times, infer 85.76     ms, avg 0.25 ms, 0.01 ms input 146.85    ms, avg 0.42 ms, output 50.40     ms, avg 0.14 ms 
Batch_size 36, 363   times, infer 105.35    ms, avg 0.29 ms, 0.01 ms input 179.05    ms, avg 0.49 ms, output 66.38     ms, avg 0.18 ms 
Batch_size 37, 292   times, infer 85.38     ms, avg 0.29 ms, 0.01 ms input 101.81    ms, avg 0.35 ms, output 48.81     ms, avg 0.17 ms 
Batch_size 38, 288   times, infer 86.12     ms, avg 0.30 ms, 0.01 ms input 121.21    ms, avg 0.42 ms, output 38.11     ms, avg 0.13 ms 
Batch_size 39, 294   times, infer 84.00     ms, avg 0.29 ms, 0.01 ms input 129.75    ms, avg 0.44 ms, output 37.93     ms, avg 0.13 ms 
Batch_size 40, 274   times, infer 78.99     ms, avg 0.29 ms, 0.01 ms input 118.09    ms, avg 0.43 ms, output 37.67     ms, avg 0.14 ms 
Batch_size 41, 237   times, infer 62.63     ms, avg 0.26 ms, 0.01 ms input 83.86     ms, avg 0.35 ms, output 32.06     ms, avg 0.14 ms 
Batch_size 42, 197   times, infer 49.10     ms, avg 0.25 ms, 0.01 ms input 98.70     ms, avg 0.50 ms, output 27.82     ms, avg 0.14 ms 
Batch_size 43, 192   times, infer 56.38     ms, avg 0.29 ms, 0.01 ms input 82.15     ms, avg 0.43 ms, output 32.36     ms, avg 0.17 ms 
Batch_size 44, 162   times, infer 44.89     ms, avg 0.28 ms, 0.01 ms input 66.62     ms, avg 0.41 ms, output 21.50     ms, avg 0.13 ms 
Batch_size 45, 155   times, infer 46.25     ms, avg 0.30 ms, 0.01 ms input 56.23     ms, avg 0.36 ms, output 28.12     ms, avg 0.18 ms 
Batch_size 46, 142   times, infer 49.05     ms, avg 0.35 ms, 0.01 ms input 69.05     ms, avg 0.49 ms, output 19.27     ms, avg 0.14 ms 
Batch_size 47, 106   times, infer 54.32     ms, avg 0.51 ms, 0.01 ms input 51.09     ms, avg 0.48 ms, output 12.48     ms, avg 0.12 ms 
Batch_size 48, 104   times, infer 32.14     ms, avg 0.31 ms, 0.01 ms input 50.93     ms, avg 0.49 ms, output 15.42     ms, avg 0.15 ms 
Batch_size 49, 74    times, infer 37.03     ms, avg 0.50 ms, 0.01 ms input 32.33     ms, avg 0.44 ms, output 12.18     ms, avg 0.16 ms 
Batch_size 50, 54    times, infer 22.07     ms, avg 0.41 ms, 0.01 ms input 23.35     ms, avg 0.43 ms, output 7.92      ms, avg 0.15 ms 
Batch_size 51, 39    times, infer 19.16     ms, avg 0.49 ms, 0.01 ms input 8.58      ms, avg 0.22 ms, output 4.86      ms, avg 0.12 ms 
Batch_size 52, 25    times, infer 11.71     ms, avg 0.47 ms, 0.01 ms input 10.27     ms, avg 0.41 ms, output 3.35      ms, avg 0.13 ms 
Batch_size 53, 15    times, infer 13.10     ms, avg 0.87 ms, 0.02 ms input 10.59     ms, avg 0.71 ms, output 2.16      ms, avg 0.14 ms 
Batch_size 54, 7     times, infer 6.98      ms, avg 1.00 ms, 0.02 ms input 1.93      ms, avg 0.28 ms, output 0.49      ms, avg 0.07 ms 
Batch_size 55, 12    times, infer 11.52     ms, avg 0.96 ms, 0.02 ms input 7.50      ms, avg 0.63 ms, output 0.94      ms, avg 0.08 ms 
Batch_size 56, 6     times, infer 7.33      ms, avg 1.22 ms, 0.02 ms input 2.56      ms, avg 0.43 ms, output 0.42      ms, avg 0.07 ms 
Batch_size 57, 7     times, infer 12.04     ms, avg 1.72 ms, 0.03 ms input 8.56      ms, avg 1.22 ms, output 0.57      ms, avg 0.08 ms 
Batch_size 58, 2     times, infer 13.02     ms, avg 6.51 ms, 0.11 ms input 0.10      ms, avg 0.05 ms, output 0.06      ms, avg 0.03 ms 
Batch_size 59, 5     times, infer 11.84     ms, avg 2.37 ms, 0.04 ms input 6.33      ms, avg 1.27 ms, output 0.33      ms, avg 0.07 ms 
Batch_size 61, 2     times, infer 8.44      ms, avg 4.22 ms, 0.07 ms input 0.07      ms, avg 0.04 ms, output 0.25      ms, avg 0.13 ms 
Batch_size 63, 4     times, infer 7.92      ms, avg 1.98 ms, 0.03 ms input 0.16      ms, avg 0.04 ms, output 0.31      ms, avg 0.08 ms 
Batch_size 65, 2     times, infer 9.11      ms, avg 4.56 ms, 0.07 ms input 0.05      ms, avg 0.03 ms, output 0.17      ms, avg 0.09 ms 
Batch_size 66, 1     times, infer 7.59      ms, avg 7.59 ms, 0.12 ms input 0.02      ms, avg 0.02 ms, output 0.14      ms, avg 0.14 ms 
Batch_size 67, 2     times, infer 8.76      ms, avg 4.38 ms, 0.07 ms input 0.05      ms, avg 0.02 ms, output 0.16      ms, avg 0.08 ms 
Batch_size 69, 1     times, infer 10.06     ms, avg 10.06 ms, 0.15 ms input 0.02      ms, avg 0.02 ms, output 0.04      ms, avg 0.04 ms 
Batch_size 70, 2     times, infer 10.75     ms, avg 5.37 ms, 0.08 ms input 0.07      ms, avg 0.03 ms, output 0.18      ms, avg 0.09 ms 
Batch_size 71, 1     times, infer 7.99      ms, avg 7.99 ms, 0.11 ms input 0.02      ms, avg 0.02 ms, output 0.25      ms, avg 0.25 ms 
Batch_size 74, 1     times, infer 7.65      ms, avg 7.65 ms, 0.10 ms input 0.09      ms, avg 0.09 ms, output 0.03      ms, avg 0.03 ms 
Batch_size 75, 2     times, infer 7.74      ms, avg 3.87 ms, 0.05 ms input 0.04      ms, avg 0.02 ms, output 0.20      ms, avg 0.10 ms 
Batch_size 76, 1     times, infer 9.85      ms, avg 9.85 ms, 0.13 ms input 0.04      ms, avg 0.04 ms, output 0.09      ms, avg 0.09 ms 
Batch_size 77, 2     times, infer 8.51      ms, avg 4.25 ms, 0.06 ms input 0.17      ms, avg 0.08 ms, output 0.10      ms, avg 0.05 ms 
Batch_size 79, 1     times, infer 7.58      ms, avg 7.58 ms, 0.10 ms input 0.04      ms, avg 0.04 ms, output 0.03      ms, avg 0.03 ms 
Batch_size 80, 1     times, infer 8.07      ms, avg 8.07 ms, 0.10 ms input 0.12      ms, avg 0.12 ms, output 0.06      ms, avg 0.06 ms 
Batch_size 82, 2     times, infer 7.79      ms, avg 3.89 ms, 0.05 ms input 0.26      ms, avg 0.13 ms, output 0.20      ms, avg 0.10 ms 
Batch_size 84, 1     times, infer 7.97      ms, avg 7.97 ms, 0.09 ms input 0.04      ms, avg 0.04 ms, output 0.14      ms, avg 0.14 ms 
Batch_size 86, 2     times, infer 8.78      ms, avg 4.39 ms, 0.05 ms input 0.07      ms, avg 0.03 ms, output 0.21      ms, avg 0.11 ms 
Batch_size 87, 1     times, infer 7.41      ms, avg 7.41 ms, 0.09 ms input 0.10      ms, avg 0.10 ms, output 0.03      ms, avg 0.03 ms 
Batch_size 88, 1     times, infer 13.68     ms, avg 13.68 ms, 0.16 ms input 2.13      ms, avg 2.13 ms, output 0.08      ms, avg 0.08 ms 
Batch_size 90, 1     times, infer 8.12      ms, avg 8.12 ms, 0.09 ms input 0.11      ms, avg 0.11 ms, output 0.04      ms, avg 0.04 ms 
Batch_size 93, 1     times, infer 11.18     ms, avg 11.18 ms, 0.12 ms input 0.34      ms, avg 0.34 ms, output 0.03      ms, avg 0.03 ms 
Batch_size 95, 1     times, infer 8.57      ms, avg 8.57 ms, 0.09 ms input 0.12      ms, avg 0.12 ms, output 0.14      ms, avg 0.14 ms 
model name is encoder 
queue 1972.61 s, infer 3761.95 s, input 45.19 s, output 38.08 s 
Batch_size 1 , 7777  times, infer 208726.57 ms, avg 26.84 ms, 26.84 ms input 3901.27   ms, avg 0.50 ms, output 2065.83   ms, avg 0.27 ms 
Batch_size 2 , 3167  times, infer 90755.28  ms, avg 28.66 ms, 14.33 ms input 1919.19   ms, avg 0.61 ms, output 1018.47   ms, avg 0.32 ms 
Batch_size 3 , 1862  times, infer 54504.79  ms, avg 29.27 ms, 9.76 ms input 1163.75   ms, avg 0.62 ms, output 708.21    ms, avg 0.38 ms 
Batch_size 4 , 1110  times, infer 33147.68  ms, avg 29.86 ms, 7.47 ms input 660.06    ms, avg 0.59 ms, output 436.91    ms, avg 0.39 ms 
Batch_size 5 , 756   times, infer 23257.87  ms, avg 30.76 ms, 6.15 ms input 488.90    ms, avg 0.65 ms, output 341.59    ms, avg 0.45 ms 
Batch_size 6 , 501   times, infer 15975.35  ms, avg 31.89 ms, 5.31 ms input 305.29    ms, avg 0.61 ms, output 263.20    ms, avg 0.53 ms 
Batch_size 7 , 462   times, infer 14721.10  ms, avg 31.86 ms, 4.55 ms input 324.97    ms, avg 0.70 ms, output 261.70    ms, avg 0.57 ms 
Batch_size 8 , 347   times, infer 11698.78  ms, avg 33.71 ms, 4.21 ms input 216.39    ms, avg 0.62 ms, output 208.03    ms, avg 0.60 ms 
Batch_size 9 , 368   times, infer 12147.44  ms, avg 33.01 ms, 3.67 ms input 273.62    ms, avg 0.74 ms, output 217.61    ms, avg 0.59 ms 
Batch_size 10, 279   times, infer 9797.85   ms, avg 35.12 ms, 3.51 ms input 207.37    ms, avg 0.74 ms, output 180.37    ms, avg 0.65 ms 
Batch_size 11, 186   times, infer 7030.88   ms, avg 37.80 ms, 3.44 ms input 150.68    ms, avg 0.81 ms, output 125.51    ms, avg 0.67 ms 
Batch_size 12, 153   times, infer 6244.82   ms, avg 40.82 ms, 3.40 ms input 120.34    ms, avg 0.79 ms, output 138.72    ms, avg 0.91 ms 
Batch_size 13, 156   times, infer 6308.74   ms, avg 40.44 ms, 3.11 ms input 161.50    ms, avg 1.04 ms, output 127.99    ms, avg 0.82 ms 
Batch_size 14, 145   times, infer 6023.12   ms, avg 41.54 ms, 2.97 ms input 123.68    ms, avg 0.85 ms, output 119.38    ms, avg 0.82 ms 
Batch_size 15, 91    times, infer 4425.78   ms, avg 48.63 ms, 3.24 ms input 70.21     ms, avg 0.77 ms, output 64.11     ms, avg 0.70 ms 
Batch_size 16, 89    times, infer 4280.89   ms, avg 48.10 ms, 3.01 ms input 82.28     ms, avg 0.92 ms, output 128.03    ms, avg 1.44 ms 
Batch_size 17, 69    times, infer 3676.86   ms, avg 53.29 ms, 3.13 ms input 55.22     ms, avg 0.80 ms, output 68.79     ms, avg 1.00 ms 
Batch_size 18, 43    times, infer 2766.74   ms, avg 64.34 ms, 3.57 ms input 38.15     ms, avg 0.89 ms, output 34.28     ms, avg 0.80 ms 
Batch_size 19, 45    times, infer 3171.52   ms, avg 70.48 ms, 3.71 ms input 44.72     ms, avg 0.99 ms, output 74.62     ms, avg 1.66 ms 
Batch_size 20, 35    times, infer 2739.62   ms, avg 78.27 ms, 3.91 ms input 32.90     ms, avg 0.94 ms, output 41.86     ms, avg 1.20 ms 
Batch_size 21, 22    times, infer 2408.38   ms, avg 109.47 ms, 5.21 ms input 28.44     ms, avg 1.29 ms, output 16.57     ms, avg 0.75 ms 
Batch_size 22, 22    times, infer 2226.58   ms, avg 101.21 ms, 4.60 ms input 16.02     ms, avg 0.73 ms, output 15.30     ms, avg 0.70 ms 
Batch_size 23, 22    times, infer 2543.86   ms, avg 115.63 ms, 5.03 ms input 25.43     ms, avg 1.16 ms, output 26.78     ms, avg 1.22 ms 
Batch_size 24, 16    times, infer 2290.58   ms, avg 143.16 ms, 5.97 ms input 14.59     ms, avg 0.91 ms, output 21.27     ms, avg 1.33 ms 
Batch_size 25, 11    times, infer 1887.79   ms, avg 171.62 ms, 6.86 ms input 9.71      ms, avg 0.88 ms, output 13.96     ms, avg 1.27 ms 
Batch_size 26, 6     times, infer 1994.01   ms, avg 332.33 ms, 12.78 ms input 10.88     ms, avg 1.81 ms, output 17.92     ms, avg 2.99 ms 
Batch_size 27, 9     times, infer 2047.48   ms, avg 227.50 ms, 8.43 ms input 7.97      ms, avg 0.89 ms, output 7.17      ms, avg 0.80 ms 
Batch_size 28, 5     times, infer 1967.79   ms, avg 393.56 ms, 14.06 ms input 5.32      ms, avg 1.06 ms, output 3.56      ms, avg 0.71 ms 
Batch_size 29, 7     times, infer 1882.72   ms, avg 268.96 ms, 9.27 ms input 6.58      ms, avg 0.94 ms, output 14.75     ms, avg 2.11 ms 
Batch_size 30, 6     times, infer 1934.14   ms, avg 322.36 ms, 10.75 ms input 8.15      ms, avg 1.36 ms, output 12.15     ms, avg 2.02 ms 
Batch_size 31, 5     times, infer 1765.69   ms, avg 353.14 ms, 11.39 ms input 3.52      ms, avg 0.70 ms, output 3.48      ms, avg 0.70 ms 
Batch_size 32, 3     times, infer 1991.00   ms, avg 663.67 ms, 20.74 ms input 4.96      ms, avg 1.65 ms, output 4.88      ms, avg 1.63 ms 
Batch_size 33, 4     times, infer 2071.61   ms, avg 517.90 ms, 15.69 ms input 3.58      ms, avg 0.90 ms, output 4.25      ms, avg 1.06 ms 
Batch_size 34, 1     times, infer 982.90    ms, avg 982.90 ms, 28.91 ms input 0.76      ms, avg 0.76 ms, output 0.75      ms, avg 0.75 ms 
Batch_size 35, 3     times, infer 1929.66   ms, avg 643.22 ms, 18.38 ms input 2.98      ms, avg 0.99 ms, output 2.94      ms, avg 0.98 ms 
Batch_size 36, 2     times, infer 903.57    ms, avg 451.78 ms, 12.55 ms input 2.11      ms, avg 1.05 ms, output 2.76      ms, avg 1.38 ms 
Batch_size 37, 3     times, infer 1867.49   ms, avg 622.50 ms, 16.82 ms input 7.73      ms, avg 2.58 ms, output 2.44      ms, avg 0.81 ms 
Batch_size 38, 3     times, infer 2074.33   ms, avg 691.44 ms, 18.20 ms input 5.34      ms, avg 1.78 ms, output 3.11      ms, avg 1.04 ms 
Batch_size 39, 2     times, infer 1892.13   ms, avg 946.06 ms, 24.26 ms input 2.29      ms, avg 1.15 ms, output 2.71      ms, avg 1.36 ms 
Batch_size 40, 4     times, infer 1895.92   ms, avg 473.98 ms, 11.85 ms input 6.53      ms, avg 1.63 ms, output 6.90      ms, avg 1.73 ms 
Batch_size 41, 2     times, infer 1894.21   ms, avg 947.11 ms, 23.10 ms input 2.53      ms, avg 1.26 ms, output 2.74      ms, avg 1.37 ms 
Batch_size 42, 3     times, infer 1917.13   ms, avg 639.04 ms, 15.22 ms input 4.18      ms, avg 1.39 ms, output 5.79      ms, avg 1.93 ms 
Batch_size 43, 3     times, infer 2000.21   ms, avg 666.74 ms, 15.51 ms input 3.80      ms, avg 1.27 ms, output 6.28      ms, avg 2.09 ms 
Batch_size 45, 2     times, infer 1998.16   ms, avg 999.08 ms, 22.20 ms input 2.99      ms, avg 1.50 ms, output 2.46      ms, avg 1.23 ms 
Batch_size 46, 3     times, infer 2041.56   ms, avg 680.52 ms, 14.79 ms input 5.36      ms, avg 1.79 ms, output 5.08      ms, avg 1.69 ms 
Batch_size 47, 1     times, infer 956.10    ms, avg 956.10 ms, 20.34 ms input 0.87      ms, avg 0.87 ms, output 0.84      ms, avg 0.84 ms 
Batch_size 48, 2     times, infer 2080.20   ms, avg 1040.10 ms, 21.67 ms input 6.65      ms, avg 3.32 ms, output 2.75      ms, avg 1.38 ms 
Batch_size 49, 1     times, infer 1080.26   ms, avg 1080.26 ms, 22.05 ms input 4.96      ms, avg 4.96 ms, output 0.97      ms, avg 0.97 ms 
model name is feature_extractor 
queue 134.56 s, infer 516.54 s, input 6.27  s, output 9.31  s 
Batch_size 1 , 10187 times, infer 15117.85  ms, avg 1.48 ms, 1.48 ms input 207.21    ms, avg 0.02 ms, output 562.45    ms, avg 0.06 ms 
Batch_size 2 , 4443  times, infer 9522.33   ms, avg 2.14 ms, 1.07 ms input 133.04    ms, avg 0.03 ms, output 279.62    ms, avg 0.06 ms 
Batch_size 3 , 2027  times, infer 6179.90   ms, avg 3.05 ms, 1.02 ms input 80.08     ms, avg 0.04 ms, output 149.39    ms, avg 0.07 ms 
Batch_size 4 , 948   times, infer 3563.44   ms, avg 3.76 ms, 0.94 ms input 45.64     ms, avg 0.05 ms, output 78.76     ms, avg 0.08 ms 
Batch_size 5 , 536   times, infer 2435.36   ms, avg 4.54 ms, 0.91 ms input 29.42     ms, avg 0.05 ms, output 45.37     ms, avg 0.08 ms 
Batch_size 6 , 345   times, infer 1895.02   ms, avg 5.49 ms, 0.92 ms input 21.65     ms, avg 0.06 ms, output 32.75     ms, avg 0.09 ms 
Batch_size 7 , 248   times, infer 1544.45   ms, avg 6.23 ms, 0.89 ms input 18.69     ms, avg 0.08 ms, output 27.76     ms, avg 0.11 ms 
Batch_size 8 , 239   times, infer 1708.98   ms, avg 7.15 ms, 0.89 ms input 22.62     ms, avg 0.09 ms, output 28.46     ms, avg 0.12 ms 
Batch_size 9 , 199   times, infer 1553.12   ms, avg 7.80 ms, 0.87 ms input 20.58     ms, avg 0.10 ms, output 26.19     ms, avg 0.13 ms 
Batch_size 10, 171   times, infer 1551.23   ms, avg 9.07 ms, 0.91 ms input 19.41     ms, avg 0.11 ms, output 26.61     ms, avg 0.16 ms 
Batch_size 11, 177   times, infer 1819.80   ms, avg 10.28 ms, 0.93 ms input 22.15     ms, avg 0.13 ms, output 29.15     ms, avg 0.16 ms 
Batch_size 12, 118   times, infer 1206.94   ms, avg 10.23 ms, 0.85 ms input 15.74     ms, avg 0.13 ms, output 20.92     ms, avg 0.18 ms 
Batch_size 13, 125   times, infer 1509.60   ms, avg 12.08 ms, 0.93 ms input 17.44     ms, avg 0.14 ms, output 23.86     ms, avg 0.19 ms 
Batch_size 14, 96    times, infer 1215.69   ms, avg 12.66 ms, 0.90 ms input 14.45     ms, avg 0.15 ms, output 19.10     ms, avg 0.20 ms 
Batch_size 15, 90    times, infer 1198.94   ms, avg 13.32 ms, 0.89 ms input 14.68     ms, avg 0.16 ms, output 19.08     ms, avg 0.21 ms 
Batch_size 16, 88    times, infer 1252.26   ms, avg 14.23 ms, 0.89 ms input 15.72     ms, avg 0.18 ms, output 19.96     ms, avg 0.23 ms 
Batch_size 17, 84    times, infer 1363.48   ms, avg 16.23 ms, 0.95 ms input 15.63     ms, avg 0.19 ms, output 20.86     ms, avg 0.25 ms 
Batch_size 18, 75    times, infer 1214.47   ms, avg 16.19 ms, 0.90 ms input 14.32     ms, avg 0.19 ms, output 18.21     ms, avg 0.24 ms 
Batch_size 19, 71    times, infer 1238.66   ms, avg 17.45 ms, 0.92 ms input 13.99     ms, avg 0.20 ms, output 18.58     ms, avg 0.26 ms 
Batch_size 20, 53    times, infer 938.78    ms, avg 17.71 ms, 0.89 ms input 11.59     ms, avg 0.22 ms, output 14.71     ms, avg 0.28 ms 
Batch_size 21, 46    times, infer 913.64    ms, avg 19.86 ms, 0.95 ms input 10.17     ms, avg 0.22 ms, output 13.12     ms, avg 0.29 ms 
Batch_size 22, 34    times, infer 679.16    ms, avg 19.98 ms, 0.91 ms input 7.87      ms, avg 0.23 ms, output 10.50     ms, avg 0.31 ms 
Batch_size 23, 33    times, infer 646.61    ms, avg 19.59 ms, 0.85 ms input 8.00      ms, avg 0.24 ms, output 10.46     ms, avg 0.32 ms 
Batch_size 24, 33    times, infer 801.05    ms, avg 24.27 ms, 1.01 ms input 8.41      ms, avg 0.25 ms, output 10.74     ms, avg 0.33 ms 
Batch_size 25, 22    times, infer 510.84    ms, avg 23.22 ms, 0.93 ms input 5.69      ms, avg 0.26 ms, output 7.17      ms, avg 0.33 ms 
Batch_size 26, 17    times, infer 418.08    ms, avg 24.59 ms, 0.95 ms input 4.48      ms, avg 0.26 ms, output 6.21      ms, avg 0.37 ms 
Batch_size 27, 15    times, infer 320.55    ms, avg 21.37 ms, 0.79 ms input 4.35      ms, avg 0.29 ms, output 4.96      ms, avg 0.33 ms 
Batch_size 28, 8     times, infer 208.65    ms, avg 26.08 ms, 0.93 ms input 2.62      ms, avg 0.33 ms, output 2.87      ms, avg 0.36 ms 
Batch_size 29, 12    times, infer 338.00    ms, avg 28.17 ms, 0.97 ms input 3.23      ms, avg 0.27 ms, output 4.95      ms, avg 0.41 ms 
Batch_size 30, 8     times, infer 206.53    ms, avg 25.82 ms, 0.86 ms input 2.27      ms, avg 0.28 ms, output 3.13      ms, avg 0.39 ms 
Batch_size 31, 2     times, infer 66.30     ms, avg 33.15 ms, 1.07 ms input 0.57      ms, avg 0.29 ms, output 0.70      ms, avg 0.35 ms 
Batch_size 32, 7     times, infer 182.09    ms, avg 26.01 ms, 0.81 ms input 2.32      ms, avg 0.33 ms, output 3.05      ms, avg 0.44 ms 
Batch_size 33, 4     times, infer 124.32    ms, avg 31.08 ms, 0.94 ms input 1.38      ms, avg 0.34 ms, output 1.49      ms, avg 0.37 ms 
Batch_size 34, 1     times, infer 30.18     ms, avg 30.18 ms, 0.89 ms input 0.33      ms, avg 0.33 ms, output 0.41      ms, avg 0.41 ms 
Batch_size 35, 5     times, infer 155.69    ms, avg 31.14 ms, 0.89 ms input 1.92      ms, avg 0.38 ms, output 2.48      ms, avg 0.50 ms 
Batch_size 36, 3     times, infer 111.18    ms, avg 37.06 ms, 1.03 ms input 1.01      ms, avg 0.34 ms, output 1.41      ms, avg 0.47 ms 
Batch_size 37, 2     times, infer 66.71     ms, avg 33.36 ms, 0.90 ms input 0.78      ms, avg 0.39 ms, output 0.95      ms, avg 0.47 ms 
Batch_size 38, 2     times, infer 65.03     ms, avg 32.52 ms, 0.86 ms input 0.71      ms, avg 0.35 ms, output 1.24      ms, avg 0.62 ms 
Batch_size 39, 1     times, infer 30.43     ms, avg 30.43 ms, 0.78 ms input 0.36      ms, avg 0.36 ms, output 0.52      ms, avg 0.52 ms 
Batch_size 40, 2     times, infer 68.35     ms, avg 34.18 ms, 0.85 ms input 0.78      ms, avg 0.39 ms, output 0.91      ms, avg 0.45 ms 
Batch_size 43, 1     times, infer 37.77     ms, avg 37.77 ms, 0.88 ms input 0.41      ms, avg 0.41 ms, output 0.53      ms, avg 0.53 ms 
Batch_size 44, 1     times, infer 37.32     ms, avg 37.32 ms, 0.85 ms input 0.51      ms, avg 0.51 ms, output 0.45      ms, avg 0.45 ms 
Batch_size 45, 2     times, infer 105.91    ms, avg 52.96 ms, 1.18 ms input 1.11      ms, avg 0.56 ms, output 0.99      ms, avg 0.50 ms 
